,논문제목,저자정보,인용수
0,인공지능 융합교육을 위한 초중등학교 연계형 인공지능 교육 내용체계 개발,"전수진 (호서대학교)
이주강 (천안여자고등학교)
최희원 (천안업성고등학교)
이석 (도산초등학교)
김민정 (설화중학교)",183
1,직업계 고등학교 학생의 인공지능 리터러시 프로그램 개발 및 적용,"도윤미 (한국교원대학교)
김영식 (한국교원대학교)",33
2,책임윤리 기반의 초등학생을 위한 인공지능 윤리교육 프로그램 개발 및 적용,"송주영 (대구교육대학교)
전용주 (안동대학교)",51
3,초등 인공지능 교육에서 ‘생각에 대한 생각’ 교육방법의 적용 연구,"신하은 (경기도 한율초등학교)
김현철 (고려대학교)",70
4,인공지능(AI)의 젠더화된 목소리와 주체화 방식에 대한 사례연구 : 푸코의 장치와 주체화 사유를 중심으로,"김경은 (중앙대학교)
강진숙 (중앙대학교)",7
5,유아교사들의 인공지능(AI)을 활용한 교육과정 운영 경험,"이종만 (국립공주대학교)
권이정 (국립공주대학교)",61
6,전장상황에서 이상징후 분석을 위한 인공지능 모델 개발동향 및 발전방향 연구,"이종관 (육군사관학교)
이종덕 (육군사관학교)
박정규 (육군사관학교)
이형근 (한화시스템)
안종철 (한화시스템)",23
7,자기 효능감과 위험 지각이 인공지능 추천 시스템의 사용자 경험에 미치는 영향,"이주호 (연세대학교)
권순호 (연세대학교)
심세희 (서울대학교)
강연아 (연세대학교)",20
8,예비·현직초등교사의 앱인벤터 기반의 인공지능 교육 만족도 분석,조정희 (Busan National University of Education),3
9,"중등 교사를 위한 캡스톤 디자인 수업설계 기반 정보, 수학, 과학 인공지능 융합교육 연수 개발 및 효과 분석","이소율 (순천향대학교 교육대)
유민선 (한국청소년정책연구원)
백성혜 (한국교원대학교)",37
10,수용자관점의 인공지능 인식에 대한 연구,"권미혁 (서울과학종합대학원)
고영희 (서울과학종합대학원)",6
11,인공지능 기반 실시간 감지가 가능한 산불 경보시스템,"안시현 (우경정보기술)
박윤하 (우경정보기술)
문병인 (경북대학교)",2
12,분산형 전원이 연결된 배전계통에서의 분리된 상별 인공지능 모델을 이용한 고장종류 및 고장구간 판별 방법,"강석준 (Korea University)
이혜정 (University of Ulsan)
최명찬 (University of Ulsan)
김도균 (University of Ulsan)
현승호 (University of Ulsan)",3
13,인공지능 기법과 차수 저감 모델을 이용한 익형 유동장 예측,"박현솔 (광주과학기술원)
황원태 (광주과학기술원)
신정훈 (한국과학기술정보연구원)
조금원 (한국과학기술정보연구원)
조수훈 (광주과학기술원)",22
