,title,content,link
0,"KB손보 등 KB 5개 계열사, 소방산업공제조합과 업무협약",KB손해보험 등 KB금융그룹 내 5개 계열사가 소방산업 발전 기여를 위해 소방산업공제조합과 소방산업 발전 및 공제사업 활성화를 …,https://n.news.naver.com/mnews/article/016/0002132267?sid=101
1,"[2023FIND]추경호 부총리 ""경제분절화 관련 범정부 차원 대응 강화해야""",추경호 경제부총리는 최근 가속화되고 있는 경제분절화와 관련해 범정부 차원에 사전점검·대응체계를 운영하고 있다며 '경제안보공급망 …,https://n.news.naver.com/mnews/article/014/0004999224?sid=101
2,"생명보험사회공헌위원회, 산불 피해지역 복구 성금 전달",생명보험사회공헌위원회는 19일 전국 산불 피해지역 복구 및 이재민 지원을 위해 대한적십자사를 통해 5000만원을 전달했다. 정희 …,https://n.news.naver.com/mnews/article/018/0005467058?sid=101
3,미·중 대결과 자원전쟁…‘호구’ 되어가는 대한민국 [홍길용의 화식열전],중국 춘추시대 정(鄭) 나라에 자산(子産) 이란 명재상이 있었습니다. 공자(孔子)도 깊은 존경을 밝힌 인물입니다. 당시 정나라는 …,https://n.news.naver.com/mnews/article/016/0002132259?sid=101
4,"교보생명, 중기부 창업투자 프로그램 운영사 선정",교보생명이 중소기업벤처부 주관 기술창업투자 프로그램 '팁스' 운영사로 선정됐다고 19일 밝혔다. 팁스는 중소벤처기업부와 한국엔젤 …,https://n.news.naver.com/mnews/article/003/0011811567?sid=101
5,"""반도체 하반기 해빙 가능성↑…시점·속도는 불확실""",침체된 반도체 경기가 하반기에는 개선될 가능성이 높지만 회복 시점과 속도의 불확실성은 여전히 크다는 분석이 나왔다. 한국은행 조 …,https://n.news.naver.com/mnews/article/421/0006756378?sid=101
6,"금융투자협회, 신입직원 공개채용…두자릿수 규모",기사내용 요약 6월 중 최종 합격자 발표 금융투자협회는 올해 신입직원 공개채용을 실시한다고 19일 밝혔다. 채용부문은 ▲일반(경 …,https://n.news.naver.com/mnews/article/003/0011811557?sid=101
7,"하나은행, 개인사업자 플랫폼에 거래내역 간편전송 도입",하나은행은 개인사업자를 위한 전용 모바일 플랫폼인 '사장님ON'의 금융 및 비금융 서비스를 확대한다고 19일 밝혔다. '사장님O …,https://n.news.naver.com/mnews/article/003/0011811555?sid=101
8,"국민은행, UT와 함께 음주운전 예방 캠페인 실시",KB국민은행은 택시호출 플랫폼 우티(UT)와 함께 음주운전 예방 캠페인을 실시한다고 19일 밝혔다. 국민은행은 지난해 9월 티맵 …,https://n.news.naver.com/mnews/article/119/0002704215?sid=101
9,NATO가 인정한 카뱅…세계 최대 사이버 방어 훈련 참여,카카오뱅크는 세계 최대 규모의 사이버 방어 훈련인 ‘락드쉴즈(Locked Shields) 2023’에 대한민국 연합팀 일원으로 …,https://n.news.naver.com/mnews/article/015/0004834569?sid=101
10,"DB손보, 한국엠바이오와 의료배상책임보험 활성화 MOU",DB손해보험(대표 정종표)은 지난 10일 의료소모품 쇼핑몰 '의사나라' 운영회사인 한국엠바이오(대표 구본훈)와 신규 의료배상책임 …,https://n.news.naver.com/mnews/article/015/0004834568?sid=101
11,은행권 해외 채권·주식 투자 '암운'…덩치만 커지고 효율은 '꽝',국내 대형 시중은행들의 해외 유가증권 투자 수익률이 일제히 하강 곡선을 그린 것으로 나타났다. 다른 부문의 자산운용 효율이 전반 …,https://n.news.naver.com/mnews/article/119/0002704210?sid=101
12,"하나은행, '사장님ON'에서 거래내역 간편전송 서비스 제공",하나은행이 개인사업자를 위한 전용 모바일 플랫폼 '사장님온(ON)'을 통해 차별화된 금융 및 비금융 서비스를 제공한다. 사장님O …,https://n.news.naver.com/mnews/article/030/0003092486?sid=101
13,"마스턴운용, '옛 금호아시아나 본사' 콘코디언 빌딩 인수","기사내용 요약 DWS자산운용, 6292억원에 매각 마스턴투자운용이 광화문 지역을 대표하는 콘코디언 빌딩 인수를 확정했다고 19일 …",https://n.news.naver.com/mnews/article/003/0011811524?sid=101
14,"현대그린푸드, 농협경제지주와 '국산 농식품 판로 확대를 위한 MOA' 체결",19일 서울시 중구 농협중앙회 본관에서 박홍진 현대그린푸드 사장(왼쪽)과 우성태 농협경제지주 대표가 국산 농식품 판로 확대를 위 …,https://n.news.naver.com/mnews/article/001/0013889272?sid=101
15,삼성전자 파워가 이 정도라니...세계 최고기업도 쩔쩔맨다는데 [월가월부],18일 미국 주요지수 흐름 엇갈려 ‘삼성과 결별설’ 구글 연일 하락 넷플릭스 매출 기대 소폭 밑돌아 골드만삭스 실적 부진·BoA …,https://n.news.naver.com/mnews/article/009/0005118562?sid=101
16,"케이뱅크, “자동차보험료 조회만해도 1만원 상품권 지급”",케이뱅크가 자동차보험료를 조회하면 모바일상품권 1만원을 지급하는 이벤트를 실시한다. 케이뱅크는 DB손해보험과 제휴를 맺고 다이렉 …,https://n.news.naver.com/mnews/article/243/0000043576?sid=101
17,1분기 DLS 미상환 발행잔액 32조7000억…전년비 16.7%↑,올해 1분기 파생결합증권(DLS) 미상환 발행잔액이 증가한 것으로 나타났다. 한국예탁결제원은 지난 달 말 기준 DLS 미상환 발 …,https://n.news.naver.com/mnews/article/003/0011811518?sid=101
18,"Sh수협은행, 부경대에 발전기금 3억 전달",Sh수협은행은 부경대에 '해양·수산 전문인력 양성 및 연구활동 지원'을 위한 학교 발전기금 3억원을 전달했다고 18일 밝혔다. …,https://n.news.naver.com/mnews/article/003/0011811516?sid=101
19,토스 어린이·청소년 전용 ‘유스카드’…누적 발급량 100만 장 돌파,모바일 금융 서비스 ‘토스'를 운영하는 비바리퍼블리카(이하 토스)는 어린이·청소년용 선불 카드인 ‘유스카드(USS card)’ …,https://n.news.naver.com/mnews/article/016/0002132236?sid=101
